year;country;GrossSalesValue;NetSalesValue;Discount;COGS;GrossMargin;BestProductLine
2005;Australia;146123.21;131561.38;14561.82;80950.4;50610.98;Classic Cars
2005;Austria;69675.41;61227.19;8448.22;38640.11;22587.08;Classic Cars
2005;Belgium;27020.87;22977.63;4043.24;14387.51;8590.11;Classic Cars
2005;Canada;32553.74;29070.38;3483.36;18351.12;10719.26;Trucks and Buses
2005;Denmark;24645.14;21638.62;3006.51;13641.23;7997.38;Classic Cars
2005;Finland;131001.89;116158.76;14843.13;71317.59;44841.17;Classic Cars
2005;France;240495.02;217347.62;23147.39;132090.29;85257.33;Classic Cars
2005;Italy;40698.73;35362.26;5336.47;22862.59;12499.67;Planes
2005;Japan;39142.87;34583.18;4559.69;22739.71;11843.47;Classic Cars
2005;New Zealand;188209.4;165343.66;22865.74;99941.98;65401.68;Classic Cars
2005;Singapore;7182.53;5842.21;1340.31;4672.13;1170.08;Motorcycles
2005;Spain;322491.14;290018.52;32472.62;169989.97;120028.55;Classic Cars
2005;Sweden;31219.2;27966.54;3252.65;16420.72;11545.82;Classic Cars
2005;UK;42632.93;37258.94;5373.99;21119.36;16139.57;Motorcycles
2005;USA;639978.78;574579.81;65398.97;347935.83;226643.98;Classic Cars
